2025-06-24 20:21:37 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:38 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:39 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:40 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:41 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:42 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:43 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:44 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:45 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:46 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:47 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:48 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:49 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:50 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:51 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:52 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:53 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:54 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:55 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:56 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:57 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:58 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:59 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:00 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:01 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:02 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:03 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:04 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:05 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:06 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:07 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:08 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:09 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:10 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:11 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:12 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:13 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:14 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:15 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:16 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:17 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:18 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:19 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:20 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:21 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:22 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:23 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:24 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:25 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:26 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:22:27 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
